IDA blend;200309009
Indonesia;134776692
IDA only;449221080
Isle of Man;
India;494261397
Not classified;
Ireland;2394545
Iran, Islamic Rep.;27903119
Iraq;10475789
Iceland;214594
Israel;4164651
Italy;25964342
Jamaica;1488294
Jordan;2637759
Japan;68048596
Kazakhstan;9031232
Kenya;23878817
Kyrgyz Republic;2586494
Cambodia;9350757
Kiribati;
St. Kitts and Nevis;
Korea, Rep.;28450476
Kuwait;2424534
Latin America & Caribbean (excluding high income);298002065
Lao PDR;3809128
Lebanon;2399073
Liberia;2232214
Libya;2422193
St. Lucia;99985
Latin America & Caribbean;313541635
Least developed countries: UN classification;422862665
Low income;297606490
Liechtenstein;
Sri Lanka;8920237
Lower middle income;1188934170
Low & middle income;2844642799
Lesotho;974814
Late-demographic dividend;1239896244
Lithuania;1452952
Luxembourg;307314
Latvia;985032
Macao SAR, China;388405
St. Martin (French part);
Morocco;12067706
Monaco;
Moldova;1281378
Madagascar;13851805
Maldives;296608
Middle East & North Africa;152677915
Mexico;57142356
Marshall Islands;
Middle income;2547036309
North Macedonia;959187
Mali;7334811
Malta;234587
Myanmar;24690666
Middle East & North Africa (excluding high income);118728689
Montenegro;277659
Mongolia;1331968
Northern Mariana Islands;
Mozambique;13192926
Mauritania;1248504
Mauritius;611703
Malawi;8079173
Malaysia;15673016
North America;187009990
Namibia;937065
New Caledonia;140619
Niger;8423151
Nigeria;59873795
Nicaragua;3048653
Netherlands;9247803
Norway;2829069
Nepal;16885870
Nauru;
New Zealand;2771153
OECD members;647357636
Oman;2793444
Other small states;14356227
Pakistan;73943927
Panama;2070252
Peru;18864820
Philippines;44815316
Palau;
Papua New Guinea;2672011
Poland;18223701
Pre-demographic dividend;341263847
Puerto Rico;1048741
Korea, Dem. People’s Rep.;16503176
Portugal;5223005
Paraguay;3596770
West Bank and Gaza;1261658
Pacific island small states;921678
Post-demographic dividend;562851142
French Polynesia;117018
Qatar;2124485
Romania;8933410
Russian Federation;73023442
Rwanda;6361963
South Asia;675396518
Saudi Arabia;14387983
Sudan;12410556
Senegal;4255464
Singapore;3531132
Solomon Islands;336182
Sierra Leone;2681164
El Salvador;2789969
San Marino;
Somalia;3924554
Serbia;3223416
Sub-Saharan Africa (excluding high income);427368717
South Sudan;4679031
Sub-Saharan Africa;427368717
Small states;18683721
Sao Tome and Principe;71890
Suriname;217328
Slovak Republic;2740077
Slovenia;1024236
Sweden;5452261
Eswatini;374886
Sint Maarten (Dutch part);
Seychelles;
Syrian Arab Republic;5191776
Turks and Caicos Islands;
Chad;5995275
East Asia & Pacific (IDA & IBRD countries);1115780246
Europe & Central Asia (IDA & IBRD countries);212867199
Togo;3699587
Thailand;38989831
Tajikistan;2464952
Turkmenistan;2653434
Latin America & the Caribbean (IDA & IBRD countries);306961526
Timor-Leste;545438
Middle East & North Africa (IDA & IBRD countries);117467031
Tonga;40750
South Asia (IDA & IBRD);675396518
Sub-Saharan Africa (IDA & IBRD countries);427368717
Trinidad and Tobago;666722
Tunisia;4087509
Turkey;33368909
Tuvalu;
Tanzania;27170626
Uganda;16658615
Ukraine;20206988
Upper middle income;1358102139
Uruguay;1762498
United States;166543859
Uzbekistan;15453701
St. Vincent and the Grenadines;56646
Venezuela, RB;12364707
British Virgin Islands;
Virgin Islands (U.S.);51981
Vietnam;57364217
Vanuatu;128570
World;3460296142
Samoa;53601
Kosovo;
Yemen, Rep.;6734740
South Africa;23300270
Zambia;7401808
Zimbabwe;7040147
